RU	EN	LEN	ROW	TIME
	Our whole courtship, we watched Westerns.	41	99	00:07:05a
	Here you go.	12	100	00:07:05b
	Thanks.	07	101	00:07:06a
	And we thoroughly enjoyed Tanner.	33	102	00:07:09a
	That's nice.	12	103	00:07:10a
	It's really good.	17	104	00:07:10b
	And anyway, she goes to bed.	28	105	00:07:12a
	I open up a box of Havanas.	27	106	00:07:16a
	I light up, I pour myself a cognac and I watch...	49	107	00:07:22a
	The Fourteen Fists of McCluskey.	32	108	00:07:25a
	What a picture.	15	109	00:07:26a
	Good picture, yeah.	19	110	00:07:28a
	That is so much fun.	20	111	00:07:30a
	All the shooting.	17	112	00:07:35a
	I love that stuff.	18	113	00:07:35b
	You know, the killing.	22	114	00:07:37a
	A lot of killing.	17	115	00:07:37b
	Lot of killing, yeah.	21	116	00:07:39a
	Now, gentlemen,	15	117	00:07:49a
	the plan is, we reverse our forces und drive the Allies back into the sea.	74	118	00:07:49b
	Genius.	07	119	00:07:50a
	Panzer divisions come in,	25	120	00:07:55a
	and we drive them here to the ocean.	36	121	00:07:55b
	They'll be up against the wall.	31	122	00:07:56a
	They will have nowhere to go.	29	123	00:07:56b
	Yes.	04	124	00:07:58a
	This is the spot...	19	125	00:08:01a
	Hermann.	08	126	00:08:05a
	Open the curtains.	18	127	00:08:26a
	Anybody order fried sauerkraut?	31	128	00:08:45a
	Burn, you Nazi bastards.	24	129	00:08:45b
	Ha-ha-ha.	09	130	00:08:49a
	That's you operating the flamethrower, isn't it?	48	131	00:08:53a
	You bet your sweet ass it was.	30	132	00:08:53b
	Yeah.	05	133	00:08:55a
	It was you?	11	134	00:08:55b
	Yeah.	05	135	00:08:55c
	And let me tell you,	20	136	00:09:01a
	that-that's one shit-fuck crazy weapon y-y-you do not wanna be on the wrong side of.	84	137	00:09:01b
	Boy, boy.	09	138	00:09:03a
	You know, I practiced with that dragon,	39	139	00:09:08a
	three hours a day for two weeks.	32	140	00:09:08b
	Not just because I wanted to look good in the picture,	54	141	00:09:11a
	but because I was...	20	142	00:09:11b
	I was shit-scared of the thing, to be honest.	45	143	00:09:14a
	Mike fucking Lewis.	19	144	00:09:16a
	Crisping them Nazis to hell.	28	145	00:09:18a
	Shit, that's...	15	146	00:09:20a
	All right, that's too hot.	26	147	00:09:21a
	Anything we can do about that heat?	35	148	00:09:23a
	Rick, it's a flamethrower.	26	149	00:09:23b
	Yeah.	05	150	00:09:26a
	So I came to the office early today,	36	151	00:09:35a
	and I watched two episodes of Bounty Law on 16 mm.	50	152	00:09:35b
	Jody Janice, wanted for cattle rustling in the state of Wyoming,	64	153	00:09:44a
	$425 dead or alive.	19	154	00:09:44b
	And you brought him here to collect.	36	155	00:09:46a
	I don't even know where here is.	32	156	00:09:49a
	It was just the closest place.	30	157	00:09:51a
	Caught up with him about five miles outside of town.	52	158	00:09:54a
	So, bounty killer,	18	159	00:10:02a
	the name of this town is Janicetown.	36	160	00:10:02b
	And that boy you killed...	26	161	00:10:04a
	was Jody Janice.	16	162	00:10:07a
	He was the baby boy of Major Nathin Maxwell Janice.	51	163	00:10:11a
	Hmm.	04	164	00:10:13a
	Who's Major Nathin Maxwell Janice?	34	165	00:10:17a
	Well, I'll be sure and introduce you when he gets here.	55	166	00:10:44a
	Bounty Law.	11	167	00:10:49a
	Starring Rick Dalton.	21	168	00:10:52a
	Then a couple of the jokers over in archival sent over a kinescope of a little treat featuring you.	99	169	00:11:20a
	So, you've been doing guest shots on episodic TV shows the last couple of years?	80	170	00:11:26a
	Yeah.	05	171	00:11:26b
	I'm doing a pilot f-for CBS right now.	38	172	00:11:32a
	It's called...	14	173	00:11:32b
	It's called Lancer.	19	174	00:11:32c
	I play the heavy.	17	175	00:11:35a
	Did a, ahem, Ron Ely Tarzan.	28	176	00:11:38a
	I did a Land of the Giants.	27	177	00:11:38b
	Green Hornet.	13	178	00:11:41a
	I did that show, uh...	22	179	00:11:43a
	Bingo Martin with that kid Scott Brown.	39	180	00:11:43b
	Yeah.	05	181	00:11:46a
	And I got a F.B.I.	18	182	00:11:46b
	that-that airs this Sunday.	27	183	00:11:49a
	You, um...	10	184	00:11:49b
	You always play the bad guy on these shows?	43	185	00:11:53a
	Y-yeah.	07	186	00:11:53b
	Mm-hm.	06	187	00:11:53c
	Yeah.	05	188	00:11:56a
	So, and they have a fight scene at the end of them?	51	189	00:11:59a
	Well, not...	12	190	00:11:59b
	Not Land of the Giants or F.B.I.,	33	191	00:12:03a
	but the rest, yeah.	19	192	00:12:03b
	Yeah.	05	193	00:12:03c
	And you lose in the fight?	26	194	00:12:06a
	Yeah.	05	195	00:12:06b
	Yeah, of course.	16	196	00:12:06c
	I'm the heavy.	14	197	00:12:10a
	That's an old trick pulled by the networks.	43	198	00:12:14a
	Now, you take Bingo Martin, for example.	40	199	00:12:16a
	Mm-hm.	06	200	00:12:16b
	Right?	06	201	00:12:18a
	So you got a new guy like Scott Brown.	38	202	00:12:21a
	You wanna build up his bona fides, right?	41	203	00:12:24a
	So you hire a guy from a canceled show to play the heavy.	57	204	00:12:26a
	Hmm.	04	205	00:12:28a
	Then at the end of the show,	28	206	00:12:33a
	when they fight,	16	207	00:12:33b
	it's hero besting heavy.	24	208	00:12:33c
	But what the audience sees is Bingo Martin whipping Jake Cahill's ass.	70	209	00:12:41a
	Uh-huh.	07	210	00:12:41b
	You see?	08	211	00:12:43a
	Then next week, it's Ron Ely.	29	212	00:12:46a
	And next week,	14	213	00:12:52a
	it's Bob Conrad,	16	214	00:12:52b
	wearing his tight pants,	24	215	00:12:52c
	kicking your ass.	17	216	00:12:52d
	Yeah.	05	217	00:12:55a
	Now, in another couple of years,	32	218	00:13:06a
	playing punching bag to every swinging dick new to the network,	63	219	00:13:06b
	that's gonna have a psychological effect on how the audience perceives you.	75	220	00:13:06c
	Right.	06	221	00:13:08a
	So, Rick, who's gonna kick the shit out of you next week?	57	222	00:13:13a
	Mannix?	07	223	00:13:13b
	The Man from U.N.C.I.E.?	24	224	00:13:16a
	The Girl from U.N.C.I.E.?	25	225	00:13:18a
	How about Batman and Robin?	27	226	00:13:20a
	Ping.	05	227	00:13:20b
	Pow.	04	228	00:13:22a
	Choom.	06	229	00:13:22b
	Zoom.	05	230	00:13:26a
	Down goes you.	14	231	00:13:27a
	Down goes your career as a leading man.	39	232	00:13:33a
	Or do you go to Rome and star in Westerns and win fucking fights?	65	233	00:13:48a
	Ticket, señor?	14	234	00:13:57a
	All right, what's the matter, partner?	38	235	00:14:02a
	it's official, old buddy.	25	236	00:14:02b
	I'm a has-been.	15	237	00:14:06a
	What are you talking about?	27	238	00:14:06b
	What did that guy tell you?	27	239	00:14:09a
	He told me the goddamn truth, is what he told me.	49	240	00:14:13a
	Whoa.	05	241	00:14:13b
	Shit.	05	242	00:14:15a
	Hey.	04	243	00:14:15b
	I'm sorry about that.	21	244	00:14:17a
	Sorry about that.	17	245	00:14:18a
	Here.	05	246	00:14:18b
	Put these on.	13	247	00:14:20a
	Don't cry in front of the Mexicans.	35	248	00:14:22a
	Son of a bitch.	15	249	00:14:22b
	What's got you so upset, man?	29	250	00:14:24a
	Well, if coming face-to-face with the failure that is your career ain't worth crying about,	91	251	00:14:31a
	then I don't know what the fuck is.	35	252	00:14:31b
	Right.	06	253	00:14:31c
	That guy in there turn you down?	32	254	00:14:33a
	No.	03	255	00:14:33b
	He wants to help me get into Italian movies.	44	256	00:14:36a
	Then what's the problem?	24	257	00:14:38a
	I gotta do Italian goddamn movies.	34	258	00:14:40a
	That's the fucking problem.	27	259	00:14:40b
	Come on.	08	260	00:14:42a
	Fucking bullshit.	17	261	00:14:42b
	It doesn't matter whether I cry in public.	42	262	00:14:45a
	Nobody remembers who the fuck I am anyway, huh?	47	263	00:14:47a
	At the Hall of Justice here.	28	264	00:14:49a
	The defense will try to prove the killing of Kennedy was the product of a sick mind.	84	265	00:14:52a
	Fuck.	05	266	00:14:53a
	Thank you.	10	267	00:14:53b
	Hey, let's go.	14	268	00:14:53c
	Take me home, Cliff.	20	269	00:14:56a
	Come on, take me home.	22	270	00:14:58a
	As early as next Wednesday.	27	271	00:15:00a
	More than 1000 Communists dead are reported in new,	51	272	00:15:06a
	large-scale fighting in South Vietnam.	38	273	00:15:06b
	U.S. losses are said to be...	29	274	00:15:07a
	That's swell, man.	18	275	00:15:10a
	Fucking hippie motherfuckers.	29	276	00:15:12a
	And bases with rockets and mortar fire.	39	277	00:15:15a
	As President Nixon was flying to Europe,	40	278	00:15:45a
	he received details of that fighting by radio.	46	279	00:15:45b
	Hot dog buns.	13	280	00:16:11a
	Five years of ascent.	21	281	00:16:11b
	Pfft.	05	282	00:16:13a
	Ten years of-of-of treading water.	34	283	00:16:16a
	And now a race to the bottom.	29	284	00:16:16b
	Heh.	04	285	00:16:20a
	Look, I never had much of a career to speak of,	47	286	00:16:25a
	so I can't say I really know how you feel.	42	287	00:16:25b
	What are you talking about?	27	288	00:16:25c
	You're my stunt double.	23	289	00:16:28a
	Come on, now.	13	290	00:16:28b
	Shit.	05	291	00:16:29a
	Rick, I'm your driver, man.	27	292	00:16:29b
	I'm-I'm your gofer.	19	293	00:16:33a
	I'm not complaining, man.	25	294	00:16:33b
	I like driving you around.	26	295	00:16:36a
	I like doing shit around the house and house-sitting in the Hollywood Hills when you're gone.	93	296	00:16:42a
	But I haven't been a full-time stuntman for a while now,	56	297	00:16:52a
	and from where I'm standing,	28	298	00:16:52b
	going to Rome to star in movies does not sound like the fate worse than death that you seem to think it is.	107	299	00:16:52c
	Come on, now.	13	300	00:16:52d
	You ever seen an-an Italian Western, huh?	41	301	00:16:57a
	They're awful.	14	302	00:16:57b
	It's a fucking farce.	21	303	00:16:59a
	Yeah, how many you seen?	24	304	00:16:59b
	One?	04	305	00:16:59c
	Two?	04	306	00:17:02a
	I've seen enough, all right?	28	307	00:17:02b
	Nobody likes Spaghetti Westerns.	32	308	00:18:02a
	Hell, man, stay in I.A.	23	309	00:18:03a
	Give it what fer next pilot season.	35	310	00:18:05a
	I'm too insecure now to score come pilot season.	48	311	00:18:11a
	Screen Gems ain't gonna have nothing good to say about me.	58	312	00:18:14a
	You know that.	14	313	00:18:14b
	Shit.	05	314	00:18:14c
	You made Bounty Law.	20	315	00:18:16a
	Nobody's gonna forgive me for that last season.	47	316	00:18:18a
	No matter what I do...	22	317	00:18:20a
	I'm always gonna be the horse's ass that got Bounty Law canceled because I wanted some fucking rinky-dink movie career.	119	318	00:18:29a
	Tom.	04	319	00:18:29b
	My friend.	10	320	00:18:29c
	I met him?	10	321	00:18:32a
	No, you haven't met him.	24	322	00:18:33a
	You won't meet him because I don't think you'd like him.	56	323	00:18:35a
	Why?	04	324	00:18:40a
	Don't even joke.	16	325	00:18:40b
	A joke?	07	326	00:18:40c
	But they're scared.	19	327	00:18:57a
	Holy shit.	10	328	00:18:57b
	Heh.	04	329	00:18:59a
	That was Polanski.	18	330	00:19:01a
	That was Roman Polanski.	24	331	00:19:03a
	He's lived there for a month now.	33	332	00:19:05a
	First time I seen him.	22	333	00:19:05b
	Ha-ha-ha.	09	334	00:19:08a
	Holy shit.	10	335	00:19:08b
	Goddamn it.	11	336	00:19:13a
	What do I always say?	21	337	00:19:14a
	Most important thing in this town is,	37	338	00:19:18a
	when you're making money,	25	339	00:19:18b
	you buy a house in town.	24	340	00:19:18c
	You don't rent.	15	341	00:19:18d
	Eddie O'Brien taught me that.	29	342	00:19:21a
	Hollywood real estate means you live here.	42	343	00:19:23a
	You're not just visiting,	25	344	00:19:27a
	not just passing through.	25	345	00:19:27b
	You fucking live here.	22	346	00:19:29a
	Here I am flat on my ass,	25	347	00:19:33a
	and who I got living next door to me?	37	348	00:19:33b
	The director of Rosemary's fucking Baby,	40	349	00:19:36a
	Polanski, the hottest director in town right now,	49	350	00:19:40a
	probably the world.	19	351	00:19:40b
	He's my next-door neighbor.	27	352	00:19:42a
	I mean, shit.	13	353	00:19:42b
	I mean, who knows what could happen?	36	354	00:19:45a
	I could...	10	355	00:19:45b
	I could be one pool party away f-from starring in a new Polanski movie.	71	356	00:19:49a
	So you're feeling better now?	29	357	00:19:51a
	Yeah, yeah.	11	358	00:19:51b
	Sorry about all that.	21	359	00:19:53a
	Give me my glasses back.	24	360	00:19:55a
	Come get them, fucker.	22	361	00:19:57a
	All right, all right, Audie Murphy, relax.	42	362	00:19:59a
	There you go.	13	363	00:19:59b
	You need me for anything else?	30	364	00:20:01a
	I got a lot of lines to learn for tomorrow.	43	365	00:20:04a
	Shit.	05	366	00:20:04b
	All right.	10	367	00:20:04c
	I'm gonna get my carcass on home.	33	368	00:20:07a
	All right.	10	369	00:20:07b
	15 a.m. Seven-fifteen.	22	370	00:20:09a
	Out the door.	13	371	00:20:11a
	In the car.	11	372	00:20:13a
	All right, see you then.	24	373	00:23:06a
	Hello, coming in.	17	374	00:23:06b
	Hello.	06	375	00:23:09a
	Hello, darling.	15	376	00:23:09b
	Hello.	06	377	00:23:11a
	Mm.	03	378	00:23:13a
	Come here.	10	379	00:23:15a
	Hello, sweetheart.	18	380	00:23:17a
	How was your day?	17	381	00:23:17b
	Hmm?	04	382	00:23:21a
	Wait till you see what I got for you.	37	383	00:23:23a
	Wait until you see what I got for you.	38	384	00:23:26a
	Look what I got for you.	24	385	00:23:28a
	Gonna blow your mind, man.	26	386	00:23:34a
	Come here.	10	387	00:23:34b
	Ta, ta, ta.	11	388	00:23:38a
	Oh.	03	389	00:24:41a
	Was that a whine?	17	390	00:24:44a
	What did I tell you about whining?	34	391	00:24:46a
	You whine, you don't eat.	25	392	00:24:47a
	I will throw this shit in the trash.	36	393	00:24:49a
	I don't wanna, but I will.	26	394	00:24:52a
	You understand?	15	395	00:24:53a
	All right.	10	396	00:25:31a
	I waited at the bar till closing time,	38	397	00:25:36a
	but he never came back.	23	398	00:25:36b
	Okay, Peggy, what happened?	27	399	00:25:38a
	I don't know.	13	400	00:25:38b
	Everything was fine.	20	401	00:25:41a
	We had dinner at my house.	26	402	00:25:43a
	And afterwards,	15	403	00:25:46a
	you know, while I was doing the dishes,	39	404	00:25:46b
	He and Tobey played.	20	405	00:25:49a
	And then, at the club, Gabe was doing great.	44	406	00:25:51a
	Then, wham, a sudden change.	28	407	00:25:53a
	You know how musicians are.	27	408	00:25:53b
	They're temperamental cats.	27	409	00:25:57a
	Who knows what got into him?	28	410	00:25:57b
	Yeah.	05	411	00:26:05a
	Rick Dalton rehearsal tape starting in five,	44	412	00:26:12a
	four, three, two, one.	22	413	00:26:12b
	Pepe, get your behind behind that bar.	38	414	00:26:12c
	I got a guest.	14	415	00:26:16a
	Johnny says...	14	416	00:26:18a
	Spanish, Spanish, Spanish.	26	417	00:26:21a
	How's the beans?	16	418	00:26:22a
	I've had worse.	15	419	00:26:25a
	Johnny says...	14	420	00:26:25b
	Spanish.	08	421	00:26:28a
	A toast.	08	422	00:26:30a
	To my wife and all my sweethearts.	34	423	00:26:32a
	May they never meet.	20	424	00:26:35a
	Señor Madrid, care to join me at my table where I entertain my guests?	70	425	00:26:40a
	I would be delighted, Monsieur Dakota.	38	426	00:26:45a
	Take the bottle with you.	25	427	00:26:48a
	And Pepe comes over.	20	428	00:26:50a
	Hey, where's that chili pepper daughter of yours with the fiddle?	65	429	00:26:54a
	She's asleep.	13	430	00:26:56a
	Well, wake her the heck up,	27	431	00:27:01a
	get her down here with her fiddle and her bow,	46	432	00:27:01b
	and entertain my guests.	24	433	00:27:01c
	Sí, señor, but please don't hurt her this time, I beg you.	58	434	00:27:05a
	I ain't gonna hurt her.	23	435	00:27:07a
	Just want her to play the fiddle.	33	436	00:27:09a
	Fetch her and tell her I'll give her a fat $5 gold piece,	57	437	00:27:15a
	she play her little chili pepper heart out.	43	438	00:27:15b
	So, Johnny, what else you heard about me?	41	439	00:27:18a
	I heard you're pushing Lancer pretty hard,	42	440	00:27:23a
	but Lancer has money.	21	441	00:27:23b
	At some point,	14	442	00:27:29a
	he's gonna hire some guns and push back.	40	443	00:27:29b
	Oops, sorry.	12	444	00:27:29c
	It's okay.	10	445	00:27:31a
	I'll open the door for you.	27	446	00:27:33a
	You look good.	14	447	00:27:47a
	I think Steve's gonna be there too.	35	448	00:27:49a
	Yeah.	05	449	00:29:04a
	Look.	05	450	00:29:04b
	They're here.	13	451	00:29:21a
	Welcome to the Playboy Mansion, Mr. Polanski.	45	452	00:29:24a
	Hey, how are you doing, baby?	29	453	00:29:27a
	Hey.	04	454	00:29:27b
	Heh.	04	455	00:29:27c
	How are you?	12	456	00:29:43a
	Cass.	05	457	00:29:57a
	Yeah.	05	458	00:30:04a
	Yeah, baby.	11	459	00:30:08a
	Yeah.	05	460	00:30:08b
	Whoo.	05	461	00:30:08c
	Yeah.	05	462	00:30:54a
	I'm gonna tell you a story.	27	463	00:30:57a
	She was engaged to him.	23	464	00:31:03a
	Then she flew to the UK...	26	465	00:31:09a
	to make a film with him,	24	466	00:31:19a
	and broke off her engagement with him and married him.	54	467	00:31:19b
	Then they moved to Los Angeles,	31	468	00:31:27a
	and the three of them have been inseparable.	44	469	00:31:27b
	Really?	07	470	00:31:31a
	What's up?	10	471	00:31:34a
	Jay loves Sharon, that's what's up.	35	472	00:31:37a
	Mm.	03	473	00:31:37b
	And he knows...	15	474	00:31:41a
	as sure as God made little green apples...	42	475	00:31:45a
	that one of these days,	23	476	00:31:52a
	that Polish prick's gonna fuck things up,	41	477	00:31:52b
	and when he does,	17	478	00:31:52c
	Jay's gonna be there.	21	479	00:31:52d
	Well, one thing's for sure.	27	480	00:31:55a
	Yeah?	05	481	00:31:56a
	What's that?	12	482	00:31:58a
	Sharon absolutely has a type.	29	483	00:32:03a
	Cute, short, talented guys who look like 12-year-old boys.	58	484	00:32:08a
	Yeah.	05	485	00:32:13a
	I never stood a chance.	23	486	00:32:54a
	Argh.	05	487	00:32:54b
	Fuck you, Dr. Sapirstein.	25	488	00:33:40a
	Here we are.	12	489	00:33:45a
	Tell transpo.	13	490	00:33:45b
	Gonna need to move all that out.	32	491	00:33:49a
	Just a sec.	11	492	00:33:49b
	Hold on, guys.	14	493	00:33:52a
	Go ahead.	09	494	00:33:56a
	You can talk to him.	20	495	00:33:56b
	Just talk to him.	17	496	00:33:58a
	Get that set in place.	22	497	00:33:58b
	Hey.	04	498	00:34:00a
	Ahem.	05	499	00:34:00b
	I think the wind blew down my TV antenna last night,	52	500	00:34:08a
	so while I piss-fart around with wardrobe,	42	501	00:34:08b
	you mind going home and fixing it?	34	502	00:34:08c
	I can.	06	503	00:34:08d
	You talk to the stunt gaffer about me today?	44	504	00:34:11a
	That way I'll know if I'm working this week or not.	51	505	00:34:14a
	Yeah.	05	506	00:34:14b
	Ahem.	05	507	00:34:14c
	I've been meaning to tell you.	30	508	00:34:16a
	The guy who gaffs this,	23	509	00:34:20a
	he's best friends with Randy,	29	510	00:34:20b
	the gaffer from	15	511	00:34:20c
	The Green Hornet...	19	512	00:34:22a
	so there ain't no point.	24	513	00:34:25a
	If you don't need me, I'll pick you up at wrap.	47	514	00:34:27a
	I don't need you.	17	515	00:34:27b
	Not today.	10	516	00:34:29a
	Go home, fix my antenna, do whatever.	37	517	00:34:29b
	See you at wrap.	16	518	00:34:36a
	Hey.	04	519	00:34:38a
	You're Rick fucking Dalton.	27	520	00:34:38b
	Don't you forget it.	20	521	00:34:51a
	Hey, hey.	09	522	00:34:53a
	Hey, buddy, I'm Rick Dalton.	28	523	00:34:54a
	You know where I'm supposed to go?	34	524	00:34:56a
	They're waiting for you in the makeup trailer.	46	525	00:34:58a
	Where's the makeup trailer?	27	526	00:35:00a
	Straight back the way you came, hard right.	43	527	00:35:07a
	My God.	07	528	00:35:15a
	Rick Dalton.	12	529	00:35:16a
	Sam Wanamaker.	14	530	00:35:18a
	Hey.	04	531	00:35:19a
	Sorry about the wet hand.	25	532	00:35:21a
	Don't worry.	12	533	00:35:21b
	I'm used to it with Yul.	24	534	00:35:23a
	I want you to know, I'm the one who cast you.	45	535	00:35:25a
	And I couldn't be more delighted you're doing this.	51	536	00:35:28a
	Well, thank you.	16	537	00:35:29a
	I appreciate it.	16	538	00:35:29b
	It's a good part.	17	539	00:35:32a
	Yeah, it is.	12	540	00:35:32b
	Have you met Jim Stacy, the series lead?	40	541	00:35:35a
	Not yet, no.	12	542	00:35:35b
	No.	03	543	00:35:36a
	Well, you guys are going to be dynamite together.	49	544	00:35:39a
	Mm.	03	545	00:35:40a
	Well, it sounds exciting.	25	546	00:35:43a
	Yeah, lightning in a bottle.	28	547	00:35:43b
	Mm.	03	548	00:35:45a
	Now, you met Sonya, makeup and hair?	36	549	00:35:47a
	Hi.	03	550	00:35:48a
	And this is Rebekka, who does costumes.	39	551	00:35:50a
	Hello.	06	552	00:35:52a
	Hi.	03	553	00:35:52b
	Howdy.	06	554	00:35:53a
	I want a whole new look for Caleb.	34	555	00:35:55a
	I don't want this Western costumed the way they costumed	56	556	00:35:57a
	The Big Valley and Bonanza for the last decade.	47	557	00:36:00a
	I want a zeitgeist flair to the costumes.	41	558	00:36:05a
	I mean, nothing anachronistic,	30	559	00:36:11a
	but where does 1869 and 1969 meet?	34	560	00:36:11b
	Especially when it comes to you, Caleb.	39	561	00:36:13a
	Mm.	03	562	00:36:15a
	First off, I want to give him a mustache.	41	563	00:36:17a
	A big, droopy, Zapata-like mustache.	36	564	00:36:21a
	Now, about his jacket.	22	565	00:36:24a
	I want to give him a hippie jacket.	35	566	00:36:25a
	Something he could wear into the London Fog tonight and look like the hippest guy in the room.	94	567	00:36:30a
	Far out.	08	568	00:36:30b
	We got a Custer jacket.	23	569	00:36:32a
	Fringes all down the arm.	25	570	00:36:34a
	It's tan now, but I dye it dark brown,	38	571	00:36:39a
	he could hit the Strip in it tonight.	37	572	00:36:39b
	That's my girl.	15	573	00:36:39c
	Heh.	04	574	00:36:41a
	Now, Rick, about your hair.	27	575	00:36:41b
	What about my hair?	19	576	00:36:44a
	I want to go with a different hairstyle.	40	577	00:36:46a
	Huh.	04	578	00:36:46b
	What?	05	579	00:36:47a
	Something more hippie-ish.	26	580	00:36:50a
	You want me to look like a hippie?	34	581	00:36:53a
	Well, think less hippie, Hells Angel.	37	582	00:37:00a
	Right.	06	583	00:37:00b
	Get me the...	13	584	00:37:02a
	Sam.	04	585	00:37:02b
	Sam, uh...	10	586	00:37:05a
	if you got me covered up in all this...	39	587	00:37:07a
	this junk, how's the audience gonna know it's me?	49	588	00:37:12a
	I hope they don't.	18	589	00:37:14a
	Mm.	03	590	00:37:15a
	I don't want them to see Jake Cahill.	37	591	00:37:20a
	I want them to see Caleb.	25	592	00:37:22a
	I hired you to be an actor, Rick.	33	593	00:37:25a
	Not a TV cowboy.	16	594	00:37:25b
	You're better than that.	24	595	00:40:40a
